387,Ananindeua
388,Anápolis
389,Anápolis (Iacri)
390,Anapu
391,Anapurus
392,Anastácio
393,Anauá (Mauriti)
394,Anaurilândia
395,Anchieta
396,Anchieta
397,Andaraí
398,Andirá
399,Andiroba (Esmeraldas)
400,Andorinha
401,Andorinhas (Castro)
402,Andradas
403,Andrade Pinto (Vassouras)
404,Andradina
405,André da Rocha
406,Andrelândia
407,Andrequicé (Três Marias)
408,Anel (Viçosa)
409,Angai (Fernandes Pinheiro)
410,Angatuba
411,Angaturama (Recreio)
412,Angelândia
413,Angélica
414,Angelim
415,Angelina
416,Angical
417,Angical do Piauí
418,Angico
419,Angico (Mairi)
420,Angicos
421,Angicos de Minas (Brasília de Minas)
422,Angra dos Reis
423,Anguera
424,Angueretá (Curvelo)
425,Ângulo
426,Angustura (Além Paraíba)
427,Anhandui (Campo Grande)
428,Anhangüera
429,Anhembi
430,Anhumas
431,Anicuns
432,Anil (Meruoca)
433,Aningás (Horizonte)
434,Anísio de Abreu
435,Anita Garibaldi
436,Anitápolis
437,Anjinhos (Santana do Cariri)
438,Anori
439,Anta Gorda
440,Anta Gorda (Videira)
441,Antarí (Barra do Mendes)
442,Antas
443,Anta (Sapucaia)
444,Antas (Telêmaco Borba)
445,Antonina
446,Antonina do Norte
447,Antônio Almeida
448,Antônio Brandão de Oliveira (Jataizinho)
449,Antônio Cardoso
450,Antônio Carlos
451,Antônio Carlos
452,Antônio Dias
453,Antônio Diogo (Redenção)
454,Antônio dos Santos (Caeté)
455,Antônio Ferreira (Franciscópolis)
456,Antônio Gonçalves
457,Antônio João
458,Antônio Kerpel (Coronel Bicaco)
459,Antônio Lemos (Breves)
460,Antônio Marques (Maranguape)
461,Antônio Martins
462,Antônio Olinto
463,Antônio Pereira (Ouro Preto)
464,Antônio Prado
465,Antônio Prado de Minas
466,Antunes (Igaratinga)
467,Anum Novo (Palmeira dos Índios)
468,Anum Velho (Palmeira dos Índios)
469,Anunciação (Santa Izabel do Oeste)
470,Anutiba (Alegre)
471,Aparecida
472,Aparecida
473,Aparecida de Goiânia
474,Aparecida de Goiás (Itapaci)
475,Aparecida de Minas (Frutal)
476,Aparecida de Monte Alto (Monte Alto)
477,Aparecida de São Manuel (São Manuel)
478,Aparecida do Bonito (Santa Rita D'Oeste)
479,Aparecida D'Oeste
480,Aparecida do Ivaí (Santa Mônica)
481,Aparecida do Oeste (Tuneiras do Oeste)
482,Aparecida do Rio Claro (Montes Claros de Goiás)
483,Aparecida do Rio Doce
484,Aparecida do Rio Negro
485,Aparecida do Taboado
486,Aparecida (Sanclerlândia)
487,Aperibé
488,Apeú (Castanhal)
489,Apiaba (Imbituva)
490,Apiacá
491,Apiacás
492,Apiaí
493,Apiaí-Mirim (Capão Bonito)
494,Apicum-Açu
495,Apinagés (São João do Araguaia)
496,Apinajé (São Valério da Natividade)
497,Apiúna
498,Apodi
499,Aporá
500,Aporé
501,Aporema (Tartarugalzinho)
502,Apoti (Glória do Goitá)
503,Aprazível (Sobral)
504,Apuarema
505,Apucarana
506,Apuí
507,Apuiarés
508,Aquidabã
509,Aquidaban (Marialva)
510,Aquidauana
511,Aquinópolis (Jaguaribe)
512,Aquiraz
513,Arabá (Ouroeste)
514,Arabela (Ouro Verde)
515,Arabutã
516,Aracaçu (Buri)
517,Araçagi
518,Araçaí
519,Araçaíba (Apiaí)
520,Araçaji de Minas (Pedra Azul)
521,Aracaju
522,Araçariguama
523,Araçás
524,Araçás (Paracuru)
525,Aracati
526,Aracatiaçu (Sobral)
527,Aracatiara (Amontada)
528,Araçatiba (Viana)
529,Aracati de Minas (Cataguases)
530,Aracatu
531,Araçatuba
532,Aracê (Domingos Martins)
533,Araci
534,Aracitaba
535,Aracoiaba
536,Araçoiaba
537,Araçoiaba da Serra
538,Aracruz
539,Araçu
540,Araçuaí
541,Aracui (Castelo)
542,Aragaçuí (Caseara)
